Chamber_Pressure_bar,O/F,T_chamber_K,T_exit_Frozen_K,T_exit_Shift_K,M_exit_Frozen,M_exit_Shift,Velocity_exit_Frozen_m_s,Velocity_exit_Shift_m_s,Isp_Frozen_s,Isp_Equilibrium_s,X_H2O,X_H2,X_OH,X_O2,X_H
50,5.6,3502.7765935709363,1743.4923939617454,2177.609389274642,12.608302592876818,13.28181617320322,3616.1419610167245,3765.948241730938,368.7438586078554,384.019847932876,0.7034978674494393,0.292938340787086,0.0008679907522316815,5.656876714284806e-06,0.0026845665348264208
50,5.7,3516.5768604398663,1753.8958570259742,2211.0936131079197,12.760913852744427,13.477738404305565,3602.9771776578555,3756.5149185058626,367.4014243047173,383.05791666938893,0.7155007415489891,0.2801556895816394,0.0011489569560055618,9.744976975099655e-06,0.003175801536607897
50,5.8,3529.4001982430623,1763.6255206744268,2243.9250212968054,12.911647707413271,13.672575722529782,3589.7654588934383,3746.835512845526,366.05420392217917,382.07089198100533,0.7273629923888856,0.26738310771104223,0.0015040039857260718,1.650107413218599e-05,0.0037189366018808233
50,5.9,3541.2790621031345,1772.7002776875524,2276.026104067121,13.060498744145258,13.866173552359859,3576.51877913904,3736.91345054197,364.70341851081054,381.0591232012941,0.7390577282548568,0.2546335715622891,0.001947399255067395,2.748017973987599e-05,0.0043111834613979196
50,6.0,3552.246179296807,1781.1395956422273,2307.3121399512124,13.207463990932194,14.058361599120994,3563.248676590715,3726.7519977281086,363.3502446391699,380.02294338312356,0.7505540379535152,0.2419239001292614,0.002494616581754392,4.503128139946902e-05,0.004947606901691329
50,6.1,3562.3345191973444,1788.963480071697,2337.690200605737,13.352543027705908,14.24895172434813,3549.9662688456433,3716.3543879359786,361.99581598666657,378.9626822549983,0.7618165147116827,0.2292754427547235,0.00316193384546833,7.263809977606101e-05,0.005620897836426337
50,6.2,3571.5772390690377,1796.192408936379,2367.057988577776,13.49573805796632,14.437735280938892,3536.6822688273064,3705.723989285728,360.64122496747683,377.87868326959034,0.7728047618716236,0.21671483279722237,0.003965805211601593,0.0001153682136737653,0.006321219013351731
50,6.3,3580.0076095625445,1802.8472691432466,2395.3026960933353,13.637053939086783,14.62448009246489,3523.4069773833394,3694.864523140396,359.2875219757348,376.7713259003224,0.7834729419627146,0.20427477074115616,0.004921952000715302,0.000180440028299492,0.007036159701137727
50,6.4,3587.658924179251,1808.9492706196534,2422.3002441290346,13.776498172119203,14.808927557942768,3510.150280007737,3683.7803441465453,357.9357150512904,375.6410541975645,0.7937694874892351,0.19199475203441377,0.006044123776225957,0.0002778970203754746,0.007750847608965874
50,6.5,3594.564396822266,1814.5198558473896,2447.915475415213,13.914080852741927,14.990790782076184,3496.921635800484,3672.476785954737,356.5867687539052,374.48841204231184,0.8036371674224339,0.17992158164792343,0.0073425125237856674,0.0004213408286569569,0.008448278557740638
50,6.6,3600.7570517902486,1819.5806036117926,2472.0040832283084,14.04981458645832,15.169755124765366,3483.730064525269,3660.960566996518,355.2416028435061,373.31408452392185,0.8130137843784113,0.16810942453513947,0.008821873194354487,0.0006286151929318878,0.009109930076165163
50,6.7,3606.269610314438,1824.1531301013315,2494.4171523428467,14.183714371690735,15.345482976967745,3470.5841332012924,3649.240234990454,353.9010909129308,372.1189432671151,0.8218338281596735,0.15661905482497054,0.010479524400543339,0.0009222564173380823,0.009716711497629734
50,6.8,3611.134377201282,1828.2589901183114,2515.0089997329683,14.315797456277993,15.517624583925997,3457.4919433491928,3637.3266019678163,352.5660590873737,370.9040907922498,0.8300313686102649,0.1455159437121794,0.012303564406233113,0.0013294563970235483,0.010250254325279394
50,6.9,3615.3831309950724,1831.9195808226896,2533.648345417312,14.44608317152455,15.685835960224503,3444.461120114608,3625.233102240777,351.2372849152981,369.6708970179192,0.8375442636280809,0.13486694620566464,0.014271788661901826,0.0018812691557661672,0.010694452593899348
50,7.0,3619.0470203544055,1835.1560500808287,2550.2316988169596,14.574592749353112,15.849803100253443,3431.498803997411,3612.9759866398913,349.915496525053,368.4210190676624,0.8443193574265606,0.12473567176197489,0.016351837217489923,0.0026108910543022517,0.011037037707436179
50,7.1,3622.1564687615514,1837.9892110871406,2564.6965273377023,14.70134912790232,16.009269097315205,3418.611645661931,3600.5742728406276,348.6013720956628,367.1563962046803,0.85031784338846,0.11517711437547452,0.018502925269801976,0.0035510866661462807,0.011270866655767018
50,7.2,3624.741089186242,1840.4394645953487,2577.0309752523176,14.826376750891377,16.164058544312603,3405.8058040887313,3588.0494068273647,347.2955396683609,365.87921531077023,0.8555196050038476,0.10623257923229135,0.020679094012958706,0.004731157064978594,0.011394591694952083
